country,iso2,year,new.labconf,new.clindx,new.ep,ret.rel.labconf,ret.rel.clindx,ret.rel.ep,ret.nrel,ret.nrel.clindx,c.newunk,c.newinc,c.ret,c.notified,pulm.labconf.new,pulm.labconf.ret,pulm.labconf.unk,notif.foreign,rel.in.agesex.flg,agegroup.option,newrel.m04,newrel.m59,newrel.m1014,newrel.m514,newrel.m014,newrel.m1519,newrel.m2024,newrel.m1524,newrel.m2534,newrel.m3544,newrel.m4554,newrel.m5564,newrel.m65,newrel.m15plus,newrel.mu,newrel.f04,newrel.f59,newrel.f1014,newrel.f514,newrel.f014,newrel.f1519,newrel.f2024,newrel.f1524,newrel.f2534,newrel.f3544,newrel.f4554,newrel.f5564,newrel.f65,newrel.f15plus,newrel.fu,c.new.014,rdx.data.available,newinc.rdx,rdxsurvey.newinc,rdxsurvey.newinc.rdx,gaps.na.tbcases,remarks.tbcases,conf.rr.nfqr,conf.rr.fqr,unconf.rr.nfqr.tx,conf.rr.nfqr.tx,rrmdr.014.tx,conf.rr.fqr.tx,mdrxdr.bdq.used,mdrxdr.bdq.tx,mdrxdr.alloral.used,mdrxdr.alloral.tx,mdr.alloral.short.used,mdr.alloral.short.tx,mdr.tx.adsm,gaps.na.mdr.patients,remarks.mdr.patients,r.rlt.new,r.rlt.ret,rr.new,rr.ret,r.rlt.rel,rr.rel,dst.rlt.new,dst.rlt.ret,dst.rlt.hr.new,dst.rlt.hr.ret,dst.rlt.rr.new,dst.rlt.rr.ret,mdr.new,mdr.ret,rr.dst.rlt.fq,rr.fqr,rr.fqr.bdqr.lzdr,rr.fqr.bdqs.lzdr,rr.fqr.bdqu.lzdr,rr.fqr.bdqr.lzds,rr.fqr.bdqs.lzds,rr.fqr.bdqu.lzds,rr.fqr.bdqr.lzdu,rr.fqr.bdqs.lzdu,rr.fqr.bdqu.lzdu,gaps.na.dr.surveillance,remarks.dr.surveillance,newrel.tbhiv.flg,newrel.hivtest,newrel.hivpos,newrel.art,tbhiv.014.flg,newrel.hivtest.014,newrel.hivpos.014,newrel.art.014,gaps.na.hiv.patients,remarks.hiv.patients,hiv.tbrx.art,hiv.tbrx.art.NA,hiv.tbrx.art.NI.reason,hiv.tbrx.art.remarks,hiv.tbdetect,hiv.reg.new2,hiv.tbdetect.hiv.reg.new2.NA,hiv.tbdetect.hiv.reg.new2.NI.reason,hiv.tbdetect.hiv.reg.new2.remarks,hiv.tpt.eligible.start,hiv.tpt.eligible,hiv.art.tpt.start,hiv.art,hiv.tpt.eligible.start.NA,hiv.tpt.eligible.start.NI.reason,hiv.tpt.eligible.start.remarks,hiv.tpt.completed,hiv.tpt.eligible.start.ym2,hiv.tpt.completed.NA,hiv.tpt.completed.NI.reason,hiv.tpt.completed.remarks,hiv.unaids.date.exported,tbhiv.surveil,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.surv.cil,tbhiv.surv.ciu,tbhiv.sentin.prev,tbhiv.sentin.yr,tbhiv.sentin.cil,tbhiv.sentin.ciu,gaps.na.nonroutine.hiv,remarks.nonroutine.hiv,total.deaths.vr,r00.r99.deaths.vr,tbdeaths.vr,gaps.na.tbdeaths,remarks.tbdeaths
Austria,AT,2020,251,27,92,8,3,1,6,2,370,382,18,388,199,12,52,215,1,220,3,0,1,,,12,19,,40,36,39,41,59,246,0,4,3,1,,,2,11,,30,16,15,18,32,124,0,12,60,263,,,,Data extracted from ECDC/TESSy 2021-06-28,2,0,0,0,0,0,,,,,,,,,{2.14-2-20: Data extracted from ECDC/TESSy 2021-06-28}. ,173,5,1,1,,,173,5,12,1,1,1,0,1,2,0,,,,,,,0,0,0,1,Data extracted from ECDC/TESSy 2021-06-28,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Australia,AU,2020,783,140,609,57,6,16,0,,1532,1611,79,1611,781,57,2,1464,1,222,,,,,15,,,150,221,135,69,92,171,838,0,,,,,18,,,141,238,124,85,62,90,740,0,33,0,,,,0,,27,9,167,22,4,0,1,19,1,17,1,1,11,0,,735,42,14,3,,,729,40,64,6,14,3,10,3,15,8,,,,,,4,,,4,1,,1,1443,19,,,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Aruba,AW,2020,1,0,0,,,,,,1,1,,1,1,0,0,1,0,222,,,,,0,,,0,0,0,1,0,0,1,0,,,,,0,,,0,0,0,0,0,0,0,0,0,60,1,,,1,,0,0,0,1,0,,3,,3,,3,,,1,,0,,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,0,0,0,0,1,,,,1,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Azerbaijan,AZ,2020,1331,623,604,978,84,63,1308,56,2558,3683,2433,4991,1331,2286,,,0,221,10,,,36,,,,369,373,246,258,262,102,1610,,10,,,35,,,,219,207,107,101,140,83,857,,91,60,3033,,,0,,656,108,0,586,8,69,1,634,1,580,1,6,655,1,,1245,2260,149,552,,,1162,,169,,149,,122,,576,87,,,,,,,,,,0,,0,4454,83,77,,,,,1,,43,0,,,43,570,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,75647,,430,0,
Bosnia and Herzegovina,BA,2020,213,71,38,27,8,0,,13,322,357,35,357,213,27,,5,1,220,0,0,0,,,6,19,,18,30,40,43,65,221,0,0,1,0,,,3,15,,19,11,18,17,52,135,0,1,0,,,,1,,0,0,0,0,0,0,0,,0,,0,,,1,,208,23,0,0,,,153,0,1,0,0,0,0,0,,,,,,,,,,,,1,,1,15,,,,,,,1,Data in 2.44 was provided by RS.,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,1,,,,19,1,Number provided in VR.3 refers to FBIH.
Barbados,BB,2020,2,3,0,1,0,0,3,,5,6,4,9,2,1,0,2,1,220,,,,,,,,,2,1,,,,3,,,,,,,,,,,,,,,,,,60,3,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,2,1,0,0,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,No TB&HIV cases in 2020.,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Bangladesh,BD,2020,136914,39979,42244,5035,4050,1859,799,,219137,230081,11743,230880,136914,5619,0,48942,1,221,424,,,3911,,,,11548,16321,17950,22802,25704,29126,123451,2,292,,,4736,,,,14590,18346,18972,19405,15433,10518,97264,1,9363,60,50385,,,1,,1046,67,,975,17,52,1,96,1,96,0,,1027,1,,47877,5507,725,321,5035,254,0,0,0,0,0,0,0,0,736,62,,,,,,,,,,1,,0,6536,84,82,,,,,0,,36,0,,,36,580,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Belgium,BE,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,,,,,,,,,,,,,,,,
Burkina Faso,BF,2020,3666,918,839,194,65,9,231,,5423,5691,499,5922,3639,393,27,,1,221,27,,,64,,,,415,1069,1033,710,481,365,4073,,34,,,60,,,,244,288,279,260,212,139,1422,,185,60,3952,,,1,,65,0,1,57,0,0,1,54,0,,1,53,54,0,,3282,295,39,26,,,39,26,38,25,39,26,38,25,30,0,0,0,0,0,0,0,0,0,0,0,,1,5438,423,360,,,,,0,,365,0,,"Endos
Données de routine à travers les rapports d'activités des centres de diagnostic et de traitement de la tuberculose, saisies trimestriellement dans EnDos-BF par les gestionnaires des données des districts sanitaires et des hôpitaux",0,8067,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Bulgaria,BG,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,781,1,1,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,18,1,
Bahrain,BH,2020,104,6,83,0,0,0,0,,193,193,0,193,104,0,0,158,1,220,2,0,0,,,1,4,,47,34,22,12,5,125,,0,0,0,,,1,5,,27,14,9,6,4,66,,2,60,138,,,0,,6,0,0,3,0,0,0,,0,,0,,0,0,,82,0,0,0,,,57,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no patient were resistant to rifampicin ,0,154,6,3,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Burundi,BI,2020,4396,749,1607,214,78,61,110,,6752,7105,463,7215,4396,214,0,0,1,221,48,,,104,,,,582,1174,1077,845,635,374,4687,0,48,,,89,,,,393,533,455,340,227,181,2129,0,289,60,6646,,,0,Le test Xpert est actuellement utilisé en 1ère intention,62,0,0,62,1,0,0,,0,,0,,62,0,,1518,160,28,34,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Les tests de sensibilité de 1ère et 2ème lignes n'ont pas été faits au cours de l'année 2020 car le Laboratoire National de Référence (LNR) était en cours de réhabilitation.
Le DST pour les médicaments oraux ne sont pas encore disponibles au Burundi",1,7073,559,557,,,,,0,La mise sous ARV chez les coinfectés TB/VIH est de 99.6%,1124,0,,,,,1,,,,,,,1,,"Dossier patient
Registre de coïnfection TB VIH
Registre de prise en charge
Registre de gestion des ARV
",,,1,,,2021-06-28,0,,,,,,,,,0,Le dépistage du VIH est fait à l'initiative du prestataire chez tous les patients tuberculeux.,,,,,
Benin,BJ,2020,3043,428,308,129,0,0,94,,3779,3908,223,4002,3043,223,0,0,1,221,37,,,77,,,,364,585,626,468,267,181,2491,,22,,,81,,,,278,319,272,160,99,72,1200,,217,60,2896,,,1,,33,1,0,23,0,1,0,,0,,0,,24,1,2.15 changed from 34 to 1 by Hazim Timimi (WHO/Geneva) 2021-07-14 as it looked like a data entry error.,1292,211,19,15,,,26,75,12,21,17,14,12,14,1,1,,,,,,,,,,1,,1,3871,546,524,,,,,1,,524,0,,,509,6512,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Bermuda,BM,2020,3,0,0,0,0,0,0,,3,3,0,3,2,0,1,3,1,220,0,0,0,,,0,0,,1,0,0,0,1,2,0,0,0,0,,,0,0,,1,0,0,0,0,1,0,0,60,0,,,0,"2.5 One patient reported having TB as a child in an endemic country. No reliable history regarding treatment.

2.8 There were no relapse cases recorded in 2020,however, I have answered 'yes' because if there were they would be captured by the surveillance system.",0,0,1,0,0,0,1,1,0,,1,1,1,0,"2.16-2.17 TB resistant to isoniazid (mono-resistant), sensitive to rifampicin. Physician assumed development of resistance to rifampicin and progressed from first line to second-line TB treatment.",2,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Error message is confusing as 2.5 is asking for 2019 data and this page is asking for 2020 data and asking for both to align.

2.38-2.42-There were no pre-XDR nor XDR-TB cases reported in 2020",1,3,1,1,1,0,0,0,0,2.44b-2.46b-There were no TB patients aged 0-14 years in 2020,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Brunei Darussalam,BN,2020,229,10,56,16,1,2,0,,295,314,19,314,229,16,0,67,1,220,0,0,0,,,5,10,,35,35,34,32,45,196,0,0,0,1,,,3,5,,10,15,30,25,29,117,0,1,0,,,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,,229,16,0,0,,,229,16,0,0,0,0,0,0,0,0,,,,,,,,,,1,,1,314,5,5,,,,,0,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,,,,,,Reporting dates were not provided.,,,,,Reporting dates were not provided.,,2021-06-28,0,,,,,,,,,0,,,,,,
Bolivia (Plurinational State of),BO,2020,4232,267,1172,311,0,25,98,,5671,6007,434,6105,4232,409,0,,1,221,21,,,90,,,,944,771,489,455,460,565,3684,0,14,,,92,,,,526,477,294,211,268,330,2106,0,217,60,6002,,,1,,98,1,0,82,5,1,1,1,0,,0,,82,0,,3654,366,51,48,,,3654,366,10,48,51,48,0,22,29,1,0,0,0,0,0,0,0,0,1,0,,0,5238,214,,0,,,,1,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Brazil,BR,2020,43951,15799,8918,4340,1401,417,8104,,68668,74826,14262,82930,43787,9737,164,559,1,220,506,219,335,,,2209,6659,,12258,9874,7938,6143,4886,49967,1019,281,188,415,,,1538,2526,,4652,4146,3386,2708,2566,21522,374,1944,60,29897,,,1,,881,33,51,602,8,11,0,,0,,0,,0,1,,21419,5269,497,260,,,5798,1801,189,109,142,107,41,47,,,,,,,,,,,,1,,1,59580,6606,3175,1,1290,38,20,1,2.46 The TB information system in Brazil is very dynamic and the database is often qualified. ,2886,0,,,,,1,,"We only have the total number of reported tuberculosis cases that were simultaneously infected with HIV.
We can not, based on our information system, know if they are new cases of HIV/AIDS.
",,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,,,,,,
Bahamas,BS,2020,20,9,1,1,0,0,0,,30,31,1,31,20,1,0,11,1,220,0,0,0,,,1,1,,4,6,4,3,1,20,0,0,0,0,,,0,1,,1,3,4,2,0,11,0,0,60,5,,,0,,2,0,1,1,0,0,0,,0,,1,1,2,0,,20,1,1,0,,,20,1,1,0,1,0,0,0,0,0,,,,,,,,,,1,Only Linezolid is available .No second line testing for same is done at this present time.,1,31,6,5,1,0,0,0,0,,5,0,,,1,296,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Bhutan,BT,2020,434,68,338,52,2,17,8,,840,911,79,919,434,55,0,7,1,221,3,,,8,,,,117,125,52,56,34,47,431,0,3,,,18,,,,187,127,61,38,16,19,448,0,32,60,638,,,0,,63,2,0,65,1,2,1,41,1,41,3,,65,0,,434,55,74,18,,,362,36,55,9,63,12,42,8,46,2,0,0,0,0,0,0,0,0,2,0,"We have 2 pre-XDRTB diagnosed in the lab who are resistant to Fluoroquinolone. However, we don't have a testing facility for linezolid and Bdq. Therefore the classification of pre-XDRTB was done based on FLQ results only (2nd line injectables were sensitive).",1,911,6,6,,,,,0,The TB HIV patients in ART in 2020 is 6. We have communicated and discussed with National AIDS Control Program and they have agreed to make necessary changes in the UNAIDS reporting.,51,0,,,6,47,0,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Botswana,BW,2020,977,1050,403,16,34,4,37,,2430,2484,91,2521,,,,111,1,222,,,,,72,,,125,246,325,264,134,164,1258,0,,,,,88,,,158,193,216,122,62,60,811,0,160,60,1105,,,0,,65,53,65,65,0,,,,1,65,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1904,923,904,1,101,23,23,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,,,
Belarus,BY,2020,1015,69,87,330,3,10,264,2,1171,1514,607,1778,1015,569,0,0,1,220,0,0,1,,,4,21,,126,287,319,258,106,1121,0,1,0,2,,,10,13,,70,84,71,47,94,389,0,4,60,1426,,,0,,520,354,1,810,1,321,1,801,1,448,1,353,809,0,,1015,569,401,424,330,246,1015,569,422,442,401,424,364,423,825,354,,,,,,,,,,1,,1,1514,135,124,,,,,0,,128,0,,"?????????????? ?????? ???????????? ??????????????? ?????????? ????????
",81,1479,0,,"?????????????? ?????? ???????????? ??????????????? ?????????? ????????
",,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,0,,,,116,1,
Belize,BZ,2020,67,6,2,3,0,0,3,,75,78,6,81,67,6,0,11,1,220,1,0,0,,,4,3,,9,11,6,8,4,45,0,1,0,0,,,1,5,,6,6,10,1,2,31,0,2,60,66,,,1, diagnostic xpert test and AFB for follow up  ,2,0,0,0,0,0,0,,0,,0,,0,1,zero cases of MDRTB were placed on short term treatment .. 1 had passed away a few days after diagnosis and the other was was restarted on first line DOTS and xpert was negative at follow up,51,5,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,Exams for drug resistance other than GeneXpert not done (e.q. culture with DST),1,71,17,17,1,1,0,0,0,,,1,,,,,1,,,,,,,1,,,,,1,,,2021-06-28,0,,,,,,,,,1,exercise not done can be planned if finance is identified.,,,,,
