country,iso3,g.whoregion,year.new,source.new,all.areas.covered.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi,dr.h.nr.new,dr.h.nr.new.pcnt,dr.h.nr.new.pcnt.lo,dr.h.nr.new.pcnt.hi,year.ret,source.ret,all.areas.covered.ret,surv.quality.ret,dst.rlt.ret,mdr.ret,mdr.ret.pcnt,mdr.ret.pcnt.lo,mdr.ret.pcnt.hi,dr.r.nh.ret,dr.r.nh.ret.pcnt,dr.r.nh.ret.pcnt.lo,dr.r.nh.ret.pcnt.hi,xpert.ret,xpert.dr.r.ret,xpert.dr.r.ret.pcnt,xpert.dr.r.ret.pcnt.lo,xpert.dr.r.ret.pcnt.hi,r.rlt.ret,rr.ret,rr.ret.pcnt,rr.ret.pcnt.lo,rr.ret.pcnt.hi,dst.rlt.hr.ret,dst.rlt.hr.ret.pcnt,dst.rlt.hr.ret.pcnt.lo,dst.rlt.hr.ret.pcnt.hi,dst.rlt.rr.ret,dst.rlt.rr.ret.pcnt,dst.rlt.rr.ret.pcnt.lo,dst.rlt.rr.ret.pcnt.hi,dr.h.nr.ret,dr.h.nr.ret.pcnt,dr.h.nr.ret.pcnt.lo,dr.h.nr.ret.pcnt.hi
France,FRA,EUR,2014,Surveillance,1,A,2511,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Surveillance,1,A,288,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),FSM,WPR,2020,Surveillance,1,N,0,0,,,,,,,,,,,,,29,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,Surveillance,1,R,43,43,,,,,,,,,,,,,212,48,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,GBR,EUR,2020,Surveillance,1,N,1542,23,,,,,,,,,,,,,1546,31,,,,123,,,,31,,,,,,,,2019,Surveillance,1,A,122,3,,,,,,,,,,,,,123,4,,,,8,,,,4,,,,,,,
Georgia,GEO,EUR,2020,Surveillance,1,A,970,100,,,,,,,,,,,,,1064,114,,,,210,,,,106,,,,,,,,2020,Surveillance,1,A,212,65,,,,,,,,,,,,,291,77,,,,87,,,,68,,,,,,,
Ghana,GHA,AFR,2020,Surveillance,1,A,8016,5,,,,,,,,,,,,,8016,180,,,,5,,,,180,,,,,,,,2020,Surveillance,1,A,619,9,,,,,,,,,,,,,619,30,,,,11,,,,30,,,,,,,
Guinea,GIN,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,Surveillance,1,R,213,88,,,,,,,,,,,,,415,208,,,,90,,,,208,,,,,,,
Gambia,GMB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,24,13,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,,,,,,,,,,,,,,,119,21,,,,,,,,,,,,,,,
Greece,GRC,EUR,2010,Surveillance,1,A,67,1,,,,0,,,,,,,,,,,,,,,,,,,,,,3,,,,2010,Surveillance,1,A,11,1,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,
Grenada,GRD,AMR,2019,Surveillance,1,N,0,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,EUR,2018,Surveillance,1,A,,,,,,,,,,,,,,,29,0,,,,,,,,,,,,,,,,2018,Surveillance,1,A,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,
Guatemala,GTM,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,174,9,,,,,,,,,,,,,174,23,,,,33,,,,23,,,,,,,
Guam,GUM,WPR,2020,Surveillance,1,A,37,0,,,,,,,,,,,,,38,0,,,,0,,,,0,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,1,,,,0,,,,,,,
Guyana,GUY,AMR,2019,Surveillance,1,A,0,0,,,,,,,,,,,,,287,9,,,,0,,,,0,,,,,,,,2019,Surveillance,1,A,0,0,,,,,,,,,,,,,84,4,,,,0,,,,0,,,,,,,
"China, Hong Kong SAR",HKG,WPR,2020,Surveillance,1,A,2104,10,,,,,,,,,,,,,2105,14,,,,101,,,,13,,,,,,,,2020,Surveillance,1,A,159,1,,,,,,,,,,,,,159,2,,,,10,,,,2,,,,,,,
Honduras,HND,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,Surveillance,1,R,26,0,,,,,,,,,,,,,93,7,,,,0,,,,7,,,,,,,
Croatia,HRV,EUR,2018,Surveillance,1,A,224,1,,,,,,,,,,,,,225,1,,,,3,,,,1,,,,,,,,2018,Surveillance,1,A,16,1,,,,,,,,,,,,,16,1,,,,1,,,,1,,,,,,,
Haiti,HTI,AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,EUR,2020,Surveillance,1,A,155,4,,,,,,,,,,,,,156,6,,,,12,,,,6,,,,,,,,2020,Surveillance,1,A,21,3,,,,,,,,,,,,,21,5,,,,5,,,,5,,,,,,,
Indonesia,IDN,SEA,2018,Survey,1,A,,,,,,,,,,,,,,,2349,,2.4,1.8,3.3,,,,,,,,,,,,,2018,Survey,1,A,,,,,,,,,,,,,,,532,,13,9,18.2,,,,,,,,,,,,
India,IND,SEA,2020,Surveillance,1,A,152900,2764,,,,,,,,,,,,,557456,14453,,,,12757,,,,4427,,,,,,,,2020,Surveillance,1,A,58866,10114,,,,,,,,,,,,,152177,20138,,,,22991,,,,14413,,,,,,,
Ireland,IRL,EUR,2015,Surveillance,1,A,94,1,,,,0,,,,,,,,,,,,,,,,,,,,,,2,,,,2020,Surveillance,1,R,3,0,,,,,,,,,,,,,6,0,,,,0,,,,0,,,,,,,
Iran (Islamic Republic of),IRN,EMR,2014,Survey,1,A,1047,,0.8,0.3,1.4,,0.5,0.2,1.1,,,,,,,,,,,,,,,,,,,,2,1.3,3.1,2016,Surveillance,1,R,434,22,,,,14,,,,0,0,,,,,,,,,,,,,,,,,24,,,
Iraq,IRQ,EMR,2013,Survey,1,A,956,,1.1,0.3,1.8,,5,3.9,7.1,,,,,,,,,,,,,,,,,,,,6.7,4.6,9.6,2020,Surveillance,1,R,143,49,,,,,,,,,,,,,143,68,,,,67,,,,68,,,,,,,
Iceland,ISL,EUR,2019,Surveillance,1,N,4,0,,,,,,,,,,,,,4,0,,,,0,,,,0,,,,,,,,2017,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Israel,ISR,EUR,2020,Surveillance,1,A,89,5,,,,,,,,,,,,,89,5,,,,12,,,,5,,,,,,,,2020,Surveillance,1,A,1,0,,,,,,,,,,,,,1,0,,,,0,,,,0,,,,,,,
Italy,ITA,EUR,2019,Surveillance,1,N,1706,34,,,,,,,,,,,,,1706,41,,,,141,,,,41,,,,,,,,2015,Surveillance,1,A,112,14,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,
Jamaica,JAM,AMR,2020,Surveillance,1,N,37,0,,,,,,,,,,,,,37,0,,,,0,,,,0,,,,,,,,2013,Surveillance,1,A,0,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,,
Jordan,JOR,EMR,2020,Surveillance,1,A,,,,,,,,,,,,,,,110,1,,,,,,,,,,,,,,,,2020,Surveillance,1,A,0,0,,,,,,,,,,,,,3,0,,,,0,,,,0,,,,,,,
Japan,JPN,WPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,EUR,2020,Surveillance,1,A,4858,1340,,,,,,,,,,,,,4858,1758,,,,2279,,,,1758,,,,,,,,2020,Surveillance,1,A,2216,988,,,,,,,,,,,,,2216,1101,,,,1334,,,,1101,,,,,,,
Kenya,KEN,AFR,2020,Surveillance,1,A,261,3,,,,,,,,,,,,,32771,285,,,,145,,,,84,,,,,,,,2020,Surveillance,1,A,236,3,,,,,,,,,,,,,3553,165,,,,167,,,,59,,,,,,,
Kyrgyzstan,KGZ,EUR,2020,Surveillance,1,A,1741,391,,,,,,,,,,,,,1741,493,,,,650,,,,493,,,,,,,,2020,Surveillance,1,A,698,324,,,,,,,,,,,,,698,377,,,,408,,,,377,,,,,,,
Cambodia,KHM,WPR,2018,Survey,1,A,,,,,,,,,,,,,,,1701,,1.8,1.2,2.8,,,,,,,,,,,,,2018,Survey,1,A,,,,,,,,,,,,,,,108,,8.2,4,16,,,,,,,,,,,,
Kiribati,KIR,WPR,2020,Surveillance,1,A,,,,,,,,,,,,,,,174,5,,,,,,,,,,,,,,,,2020,Surveillance,1,A,,,,,,,,,,,,,,,11,2,,,,,,,,,,,,,,,
Saint Kitts and Nevis,KNA,AMR,2019,Surveillance,1,N,2,0,,,,,,,,,,,,,2,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,KOR,WPR,2020,Surveillance,1,A,10623,214,,,,,,,,,,,,,10623,333,,,,849,,,,333,,,,,,,,2020,Surveillance,1,A,2195,126,,,,,,,,,,,,,2195,197,,,,274,,,,197,,,,,,,
Kuwait,KWT,EMR,2020,Surveillance,1,N,299,6,,,,,,,,,,,,,299,7,,,,18,,,,7,,,,,,,,2017,Surveillance,1,A,0,0,,,,,,,,,,,,,0,0,,,,0,,,,0,,,,,,,
Lao People's Democratic Republic,LAO,WPR,2020,Surveillance,1,A,,,,,,,,,,,,,,,3810,29,,,,,,,,,,,,,,,,2020,Surveillance,1,A,,,,,,,,,,,,,,,242,20,,,,,,,,,,,,,,,
Lebanon,LBN,EMR,2020,Surveillance,1,A,23,1,,,,,,,,,,,,,327,2,,,,3,,,,2,,,,,,,,2020,Surveillance,1,A,5,0,,,,,,,,,,,,,6,1,,,,0,,,,1,,,,,,,
Liberia,LBR,AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,Surveillance,1,R,,,,,,,,,,,,,,,23,0,,,,,,,,,,,,,,,
